Strain,Rating,NumReviews,Effmedneg,Strain_description,Flavours,Review_breakdown,THC,Lean
A-10,3.8524590163934396,161,"['Hungry 100', 'Euphoric 81.2953995157385', 'Relaxed 64.6489104116223', 'Happy 46.8523002421308', 'Sleepy 42.3123486682809', 'Eye Pressure 100', 'Insomnia 71.5392061955469', 'Nausea 61.3746369796709', 'Lack of Appetite 50.7260406582769', 'Headaches 50.242013552759', 'Dry Mouth 100', 'Dry Eyes 87.5621890547264', 'Anxious 64.5522388059701', 'Paranoid 8.08457711442786', 'Dizzy 6.8407960199005']","A-10 has an earthy, hashy taste that provides a very heavy body stone.  Frequently used to treat insomnia and chronic pain.","['Skunk', 'Citrus', 'Pungent']","[100.0, 93.4306569343066, 39.7810218978102, 21.8978102189781, 11.6788321167883, 98.5401459854015]",18.0,0.9
A-Dub,4.45161290322581,62,"['Happy 100', 'Euphoric 77.4972011444209', 'Relaxed 75.4820251275034', 'Uplifted 72.7951237716134', 'Creative 43.7741012563752', 'Pain 100', 'Stress 87.0472535380187', 'Depression 82.5137922763253', 'Headaches 65.4113696330055', 'Nausea 65.4113696330055', 'Dry Mouth 100', 'Dry Eyes 92.6744186046512', 'Headache 3.66279069767442', 'Anxious 3.66279069767442']","Coming from the ever-popular Sour Diesel, OG Kush, and Chemdawg family tree, A-Dub has a solid reputation for its potency. This hybrid produces a well-balanced effect, creating a euphoric, happy buzz that is a great influence when expressing your creativity. Sour Double (a Sour Diesel/Sour Bubble cross) and Alien Dawg (Alien Technology crossed with Chemdawg) combine to birth this magnificent flower.","['Diesel', 'Earthy', 'Sweet']","[100.0, 37.9095163806552, 9.04836193447738, 4.52418096723869, 4.52418096723869, 0.0]",25.0,0.5
A-Train,4.09459459459459,77,"['Happy 100', 'Euphoric 85.7352941176471', 'Tingly 77.9705882352941', 'Relaxed 21.7058823529412', 'Creative 21.3823529411765', 'Stress 100', 'Depression 74.1935483870968', 'Pain 70.9677419354839', 'Insomnia 48.3870967741936', 'Lack of Appetite 45.1612903225806', 'Dry Mouth 100', 'Dizzy 91.3385826771654', 'Dry Eyes 4.33070866141732', 'Paranoid 3.54330708661417', 'Anxious 1.5748031496063']",A-Train is a hybrid between Mazar I Sharif and the clone-only Arcata e-32 Trainwreck.  This hybrid gives you the classic stoned feeling.  Be ready for smiles and munchies when you jump on the A-Train.,"['Earthy', 'Spicy/Herbal', 'Flowery']","[85.7894736842105, 100.0, 30.5263157894737, 18.4210526315789, 2.10526315789474, 26.5789473684211]",16.0,0.5
ACDC,4.51104565537555,690,"['Relaxed 100', 'Happy 76.9939535873432', 'Focused 74.5094367092782', 'Uplifted 69.4667049104238', 'Energetic 37.137716101078', 'Pain 100', 'Stress 94.4006641630832', 'Inflammation 69.389208799703', 'Depression 60.9666838735572', 'Fatigue 40.6466433400749', 'Dry Mouth 100', 'Anxious 47.1792650316884', 'Dry Eyes 37.7394488140897', 'Headache 33.594782386291', 'Paranoid 23.9418283537811']","ACDC is a sativa-dominant phenotype of the high-CBD cannabis strain, Cannatonic. One remarkable characteristic of ACDC is its THC:CBD ratio of 1:20, meaning this strain induces little to no intoxicating effects. Tests have put ACDC’s CBD content as high as 19%, which helps many patients treat pain, anxiety, epilepsy, multiple sclerosis, and the negative effects of chemotherapy, all with a clear head.","['Earthy', 'Woody', 'Pine']","[100.0, 34.0523882896764, 8.93682588597843, 4.77657935285054, 3.6979969183359, 2.4653312788906]",1.0,0.375
AK-47,4.1927374301675995,2614,"['Relaxed 100', 'Happy 99.9897963938619', 'Euphoric 81.9654167736092', 'Uplifted 76.7227639135951', 'Creative 70.6960121942698', 'Stress 100', 'Depression 66.5430387417075', 'Pain 60.5239080383581', 'Fatigue 56.2486820480682', 'Insomnia 48.5986479553771', 'Dry Mouth 100', 'Dry Eyes 53.2361767848582', 'Anxious 13.2744625837651', 'Dizzy 13.221885286751', 'Headache 10.6155749015234']","Don't let its intense name fool you: AK-47 will leave you relaxed and mellow. This sativa-dominant hybrid delivers a steady and long-lasting cerebral buzz that keeps you mentally alert and engaged in creative or social activities. AK-47 mixes Colombian, Mexican, Thai, and Afghani varieties, bringing together a complex blend of flavors and effects. While AK-47’s scent is sour and earthy, its sweet floral notes can only be fully realized in the taste. 
Created in 1992 by Serious Seeds, AK-47 has won numerous Cannabis Cup awards around the world for its soaring THC content. For those hoping to fill their gardens with this resinous, skunky hybrid, growers recommend an indoor environment with either soil or hydroponic setups. AK-47 is easy to grow and has a short indoor flowering time of just 53 to 63 days, while outdoor plants typically finish toward the end of October.","['Earthy', 'Woody', 'Skunk']","[100.0, 92.6395939086295, 34.2639593908629, 8.12182741116751, 2.53807106598985, 16.243654822335]",14.0,0.4
AK-48,4.0277777777777795,191,"['Happy 100', 'Uplifted 89.0696608615949', 'Relaxed 77.5893675527039', 'Creative 65.8340971585701', 'Euphoric 64.7800183318057', 'Depression 100', 'Stress 98.1670061099796', 'Pain 71.8940936863544', 'Insomnia 51.4867617107943', 'Nausea 49.0427698574338', 'Dry Mouth 100', 'Dry Eyes 86.1707700366684', 'Paranoid 9.42902042954426', 'Dizzy 8.80041906757465', 'Headache 5.02881089575694']","Although it is a hybrid, the AK-48 high leans more towards typical sativa effects. AK-48's lineage is a mixture of Colombian Gold x Thai x Mexican x Afghani.","['Flowery', 'Citrus', 'Orange']","[81.283422459893, 100.0, 39.3048128342246, 4.81283422459893, 5.88235294117647, 36.3636363636364]",1.0,0.5
AK-49,3.4,5,"['Creative 100', 'Uplifted 50', 'Energetic 50', 'Focused 50', 'Happy 50', 'Fatigue 100', 'Depression 50', 'Headaches 50', 'Pain 50', 'Stress 50', 'Anxious 100']","AK-49 by Vision Seeds is an AK-47 phenotype that aims for higher potency and more stimulating effects than its predecessor. This strain has been known to push well over 20% THC and can invigorate the most lethargic cannabis consumer. But beware, this strain’s strong stimulation can be too much for some, so mind your dosage and enjoy AK-49 in an environment you feel comfortable in. It has an approximate 84-day flowering time and retains the pungent and woody aroma its forefather became famous for.","['Earthy', 'Pungent', 'Woody']","[100.0, 18.1446111869031, 9.14051841746248, 0.0, 9.14051841746248, 0.0]",,0.27
Aberdeen,4.42857142857143,7,"['Uplifted 100', 'Giggly 100', 'Sleepy 92.3076923076923', 'Talkative 92.3076923076923', 'Happy 92.3076923076923', 'Cramps 100', 'Depression 100', 'Fatigue 100', 'Headaches 100', 'Lack of Appetite 100', 'Anxious 100', 'Dry Eyes 20.4545454545455', 'Dry Mouth 20.4545454545455']","Aberdeen is a variety of Agent Orange grown by Canadian LP Aphria. Like Agent Orange, Aberdeen combines the genetics of Orange Velvet and Jack the Ripper to create a mix of sweet orange and citrus flavors. The happy, uplifting effects of Aberdeen mirror Agent Orange and are regularly prescribed for anxiety, migraines, and gastrointestinal disorder.","['Menthol', 'Blue Cheese', 'Chemical']","[100.0, 0.0, 5.04201680672269, 0.0, 15.0060024009604, 0.0]",15.0,0.5
Abusive OG,4.55479452054795,148,"['Relaxed 100', 'Happy 61.955075677239', 'Sleepy 56.346283620939', 'Euphoric 48.0131109611491', 'Hungry 28.1731418104695', 'Stress 100', 'Depression 83.3449283428412', 'Insomnia 77.139279254209', 'Pain 73.6329483790177', 'Headaches 64.1088075692222', 'Dry Mouth 100', 'Dry Eyes 60.9934326149292', 'Dizzy 9.84182776801406', 'Headache 3.69068541300527', 'Anxious 3.69068541300527']","A popular Californian cut of OG Kush, Abusive OG is an indica strain that inherited the nickname of its original grower. Despite its violent name, Abusive OG will ease you into in a peaceful state of mind that fades over time to a full-body relaxation. True to its OG genetics, Abusive OG has an earthy spice aroma with subtle lemon undertones. Patients who don’t mind mental haziness might choose this strain to remedy pain, anxiety, appetite loss, and sleeplessness at the end of their day. Abusive OG may not produce the highest yields in the garden, but makes up for it with resin-caked buds.","['Earthy', 'Pungent', 'Woody']","[100.0, 50.8169934640523, 6.37254901960784, 1.63398692810458, 1.63398692810458, 3.10457516339869]",21.0,1.0
Acapulco Gold,4.52079566003617,566,"['Happy 100', 'Uplifted 84.0365259282877', 'Energetic 67.4786353134854', 'Euphoric 66.9175648715408', 'Creative 65.2419857014771', 'Depression 100', 'Stress 90.8203868531066', 'Fatigue 63.231377869402', 'Pain 62.0805698129506', 'Nausea 43.7418353043428', 'Dry Mouth 100', 'Dry Eyes 69.28782679801', 'Anxious 59.14637035452', 'Paranoid 50.6388084338915', 'Dizzy 13.2562493790742']","One of the most well-known strains, Acapulco Gold has been likened to dinner at a five-star restaurant. The strain comes from the areas in and around Acapulco, Mexico. Its orange hairs resemble a gold nugget, with gold, green, and brown colors of resin collecting on the buds. An aroma of burnt toffee lingers when the bud is broken up. Acapulco Gold has a reputation for being one of the best cannabis strains ever created, and is becoming more difficult to find due to more growers moving indoors.","['Earthy', 'Woody', 'Pungent']","[100.0, 38.1493506493507, 12.3376623376623, 3.24675324675325, 2.92207792207792, 5.51948051948052]",15.0,0.19999999999999996
Ace Killer OG,4.85294117647059,34,"['Euphoric 100', 'Relaxed 85.531914893617', 'Sleepy 76.5957446808511', 'Hungry 68.936170212766', 'Happy 11.4893617021277', 'Pain 100', 'Stress 100', 'Insomnia 75', 'Depression 50', 'Muscle Spasms 50', 'Dizzy 100', 'Dry Mouth 100']","Ace Killer OG is an indica strain that boasts a high THC content and a pungent diesel aroma. Bred from White Fire OG, King’s Kush, Kosher Kush, and a mystery strain, Ace Killer OG inherits a heavy blanket of snow-like resin and hard-hitting effects that can stupefy even the most seasoned veteran.","['Earthy', 'Diesel', 'Pine']","[100.0, 17.6543209876543, 3.95061728395062, 1.97530864197531, 0.0, 0.0]",26.0,0.7
Ace of Spades,4.12871287128713,308,"['Relaxed 100', 'Sleepy 96.6297388677074', 'Happy 93.4357240486296', 'Euphoric 80.7100208618085', 'Hungry 72.0092079706496', 'Stress 100', 'Pain 79.0772302645654', 'Insomnia 77.9719033017186', 'Depression 67.4748627255224', 'Lack of Appetite 61.8269985024602', 'Dizzy 100', 'Dry Mouth 91.4713430282292', 'Anxious 49.153122326775', 'Dry Eyes 47.2882805816938', 'Headache 8.8366124893071']","Ace of Spades is a creation from TGA Subcool Seeds that takes advantage of the popular sweet and sour combination that never goes out of style. A crossbreed of Black Cherry Soda and Jack the Ripper, this strain has an earthy berry and citrus smell that carries over into the taste with distinctly lemony flavors. Ace of Spades plants grow fast and need a lot of space because they will get both bushy and tall. Flowering occurs at 8 weeks and they are generally large and heavy. These buds are pretty to look at with a range of colors that can include purples, blues, and pinks all coated in orange hairs.","['Sweet', 'Earthy', 'Grape']","[100.0, 90.2676399026764, 34.0632603406326, 7.54257907542579, 2.67639902676399, 8.75912408759124]",15.0,0.6
Aceh,4.48571428571429,35,"['Creative 100', 'Talkative 92.4050632911392', 'Giggly 89.873417721519', 'Happy 62.0253164556962', 'Relaxed 60.7594936708861', 'Depression 100', 'Pain 86.046511627907', 'Headaches 83.7209302325581', 'Nausea 79.0697674418605', 'Cramps 74.4186046511628', 'Dry Mouth 100', 'Dizzy 76.7441860465116', 'Dry Eyes 2.32558139534884']","Aceh, also called Atjeh, refers to the sativa varieties of cannabis that come from the Aceh region of Indonesia. These sativas typically grow tall and thin, and are considered the finest among Indonesia’s landrace varieties","['Earthy', 'Woody', 'Pungent']","[100.0, 16.6892808683853, 16.6892808683853, 0.0, 2.44233378561737, 0.0]",10.0,0.0
Acid,4.42424242424242,33,"['Euphoric 100', 'Creative 99.4827586206897', 'Happy 75.8620689655172', 'Energetic 65.8620689655173', 'Uplifted 37.9310344827586', 'Stress 100', 'Depression 80', 'Nausea 72', 'Headaches 64', 'Insomnia 12', 'Dry Eyes 100', 'Dry Mouth 100', 'Headache 41.5094339622641', 'Dizzy 40.7008086253369', 'Anxious 37.7358490566038']","Acid is Paradise Seeds’ take on the original New York Sour Diesel. Expect powerful body effects, including an uplifted, nearly psychedelic mental energy. This plant exhibits a metallic flavor that is representative of its namesake, with traditional notes of gas on the nose. Acid thrives in both indoor and outdoor environments, finishing in about 9 to 10 weeks.","['Diesel', 'Earthy', 'Citrus']","[100.0, 62.3946037099494, 3.20404721753794, 0.0, 3.20404721753794, 0.0]",18.5,0.5
Acid Dough,4.6,5,"['Happy 100', 'Creative 91.6666666666667', 'Energetic 91.6666666666667', 'Talkative 70.8333333333333', 'Relaxed 70.8333333333333', 'Stress 100', 'Depression 68.1818181818182', 'Fatigue 68.1818181818182', 'Lack of Appetite 45.4545454545454', 'Insomnia 36.3636363636364', 'Dry Mouth 100', 'Dry Eyes 77.7777777777778', 'Paranoid 77.7777777777778']","Acid Dough by Ripper Seeds is a sativa-dominant strain with energetic effects. Created by crossing Lilly (Queen Mother x Congo) x OG Badazz, this strain offers sweet, candy-like aromas with bright pineapple flavors and a generous yield. Acid Dough has an approximate 65-70 day flowering time and colorful foliage. This strain responds well to cold temperatures during the finishing process, creating buds with deep violet hues and extra resin production. Acid Dough won 2nd Place Best Sativa at the 2017 Spannabis Champions Cups and 2nd Place at the 2016 Expogrow Cup.","['Earthy', 'Woody', 'Tree Fruit']","[100.0, 21.4652956298201, 7.19794344473008, 0.0, 0.0, 0.0]",,0.3
Afcrack,3.5,10,"['Tingly 100', 'Creative 92.3076923076923', 'Happy 92.3076923076923', 'Relaxed 92.3076923076923', 'Sleepy 76.9230769230769', 'Stress 100', 'Fatigue 81.8181818181818', 'Depression 27.2727272727273', 'Headaches 18.1818181818182', 'Pain 18.1818181818182', 'Dry Mouth 100', 'Anxious 20', 'Dry Eyes 10', 'Paranoid 10']","Afcrack is a cannabis “speedball” of sorts. This strain incorporates Afgoo and Green Crack, polar opposites on the spectrum of indica and sativa varieties, to create a pseudo-sedative experience that rests in the muscles while invigorating the heart and mind. With spicy earth notes that indicate its Afghani heritage, this hybrid’s effects are situation-specific and will offer energy or sedation depending on the consumer’s level of activity.","['Flowery', 'Earthy', 'Sage']","[100.0, 60.0, 30.0, 0.0, 10.0, 0.0]",,0.43
Afghan Big Bud,4.045454545454549,25,"['Happy 100', 'Hungry 80', 'Focused 75', 'Euphoric 45', 'Uplifted 30', 'Pain 100', 'Stress 92.3076923076923', 'Insomnia 53.8461538461539', 'Nausea 53.8461538461539', 'Depression 38.4615384615385', 'Anxious 100', 'Dry Mouth 32', 'Dry Eyes 16', 'Paranoid 4']","Spawn from Afghani and Big Bud, Afghan Big Bud (or Big Bud Afghani) is characterized as a large plant with broad leaves and thick stems. It has a dense appearance, similar to Big Bud, and maintains the taste of Afghani, resulting in the best of both worlds. The effects come relatively quick but usually dissipate under two hours.","['Vanilla', 'Sweet', 'Earthy']","[100.0, 100.0, 70.6713780918728, 11.660777385159, 11.660777385159, 59.0106007067138]",,0.98
Afghan Cow,4.4,10,"['Focused 100', 'Euphoric 91.4285714285714', 'Happy 91.4285714285714', 'Creative 87.1428571428571', 'Talkative 82.8571428571428', 'Fatigue 100', 'Stress 100', 'Depression 90.625', 'Inflammation 90.625', 'Pain 90.625', 'Dry Mouth 100', 'Dizzy 89.6551724137931', 'Dry Eyes 89.6551724137931', 'Headache 89.6551724137931', 'Paranoid 89.6551724137931']","This sweet-smelling and resinous sativa breed from Dr. Krippling Seeds is sure to keep you off the couch. Afghan Cow is bred from Ash, Kaya 47 (an AK-47 phenotype), and the beloved Kali Mist. The cerebral effects of this sativa are great for clear-headed daytime use. Having a high yield both indoors and out, this is an impressive plant with even more impressive effects.","['Vanilla', 'Diesel', 'Flowery']","[100.0, 23.5446313065977, 0.0, 0.0, 5.82147477360931, 0.0]",20.0,0.25
Afghan Diesel,3.8108108108108105,41,"['Happy 100', 'Euphoric 94.3293347873501', 'Relaxed 94.1112322791712', 'Uplifted 67.0665212649945', 'Hungry 60.196292257361', 'Pain 100', 'Stress 85.4981084489281', 'Insomnia 71.8789407313997', 'Depression 70.7440100882724', 'Lack of Appetite 65.0693568726356', 'Dry Mouth 100', 'Dry Eyes 97.5935828877005', 'Paranoid 26.2032085561497', 'Dizzy 4.81283422459893', 'Anxious 2.40641711229947']",Afghan Diesel is a hybrid strain with an aroma similar to a grapefruit and other citrus fruit. The taste has been described as light and sweet. This strain will have a more cerebral effect rather than body. The plant is characterized as having dark green leaves with purple colored buds.,"['Earthy', 'Skunk', 'Tar']","[64.375, 100.0, 32.1875, 19.375, 3.125, 93.4375]",19.0,0.5
Afghan Hawaiian,4.16666666666667,12,"['Relaxed 100', 'Sleepy 60', 'Energetic 50', 'Euphoric 50', 'Hungry 46.6666666666667', 'Depression 100', 'Insomnia 100', 'Nausea 100', 'Stress 100', 'Dry Mouth 100', 'Anxious 86.6666666666667', 'Dizzy 6.66666666666667', 'Paranoid 6.66666666666667']","Afghan Hawaiian is an indica-dominant hybrid of UK Cheese and Lavender bred by Canadian LP OrganiGram, Inc. The sweet mix of earthy, cheese flavors has hints of licorice and caramel undertones and produces a rush of euphoria that levels off into deep relaxation. OrganiGram classifies Afghan Hawaiian with their NDS varieties and recommend it for neurological disorders and spasticity.","['Sweet', 'Pineapple', 'Nutty']","[100.0, 60.0840336134454, 50.0, 0.0, 0.0, 0.0]",,0.95
Afghan Haze,4.35849056603774,55,"['Creative 100', 'Giggly 95.8217270194986', 'Happy 94.2896935933148', 'Relaxed 80.08356545961', 'Uplifted 78.4122562674095', 'Stress 100', 'Fatigue 84.3173431734317', 'Depression 80.0738007380074', 'Pain 77.3062730627306', 'Headaches 71.7712177121771', 'Dry Mouth 100', 'Dry Eyes 39.5498392282958', 'Anxious 33.7620578778135', 'Dizzy 4.82315112540193', 'Headache 3.85852090032154']","Afghan Haze is a sativa-dominant hybrid that combines a resinous Afghani indica with a sweet-smelling Haze sativa. Created by former Sensi breeder Nevil Schoenmaker and Shantibaba of Mr. Nice Seeds, Afghan Haze balances energizing cerebral invigoration with soothing full-body effects. Its clear-headed relief allows patients to treat pain, depression, and appetite loss during the day, and heavier doses can help ease the mind and body into peaceful sleep. Afghan Haze may have an excruciatingly long indoor flowering time of 10 weeks, but the large harvests of potent, crystal-covered buds are worth waiting for.","['Earthy', 'Pine', 'Flowery']","[100.0, 88.9125799573561, 20.0426439232409, 0.0, 0.0, 4.47761194029851]",18.5,0.385
Afghan Kush,4.13220018885741,1104,"['Relaxed 100', 'Happy 81.3245889919466', 'Sleepy 77.6280373781914', 'Euphoric 62.8270525060621', 'Hungry 47.5089564143399', 'Pain 100', 'Stress 84.7742292482817', 'Insomnia 84.7568059120109', 'Depression 68.9003103872893', 'Lack of Appetite 45.4583659933422', 'Dry Mouth 100', 'Dry Eyes 60.6870458702154', 'Dizzy 29.047979130635', 'Headache 13.745731801448', 'Paranoid 8.84635008516773']","Afghan Kush's roots trace back to the Hindu Kush mountain range near the Afghanistan-Pakistan border. There its genotype has been perfected over centuries, making it the ultimate source for hash such as charas and the sticky black Afghani hash. White Label Seed Company, a Sensi Seeds partner from the Netherlands, made the seeds of this strain available for everyone to grow. The buds of Afghan Kush develop into massive, blunt-topped nuggets full of resin; pure indica goodness with a heavy yield. Revered for its heavy resin content and powerfully sedating effects, Afghan Kush is a top choice for anyone looking to relax after a long day.","['Earthy', 'Woody', 'Sweet']","[100.0, 91.0569105691057, 41.1924119241192, 9.48509485094851, 4.8780487804878, 24.390243902439]",15.25,0.95
Afghan Skunk,4.4,51,"['Relaxed 100', 'Happy 97.2850678733032', 'Giggly 85.0678733031674', 'Sleepy 73.1900452488688', 'Tingly 58.2579185520362', 'Stress 100', 'Insomnia 88.785046728972', 'Lack of Appetite 85.0467289719626', 'Pain 85.0467289719626', 'Depression 79.4392523364486', 'Dry Mouth 100', 'Dry Eyes 82.3008849557522', 'Dizzy 68.141592920354', 'Headache 66.3716814159292', 'Paranoid 3.53982300884956']","This popular classic strain was originally developed in the United States to cross the pure indica genetics of an Afghani strain with the durable genes of Skunk plants. Afghan Skunk quickly spread to Amsterdam and beyond and is now considered one of the “classics.” Its resilient Skunk genes make this plant a popular recommendation for new growers, and its legendary high yields make it a favorite all around. Flowering happens around 8 weeks and the buds will have a menthol smell combined with the “sweet stink” skunks are known for. Tests have shown THC levels of about 17%, so the stink isn’t the only thing that’s potent about Afghan Skunk.","['Skunk', 'Spicy/Herbal', 'Sage']","[100.0, 70.8, 12.2, 9.8, 0.0, 7.4]",17.0,0.85
Afghan Sour Kush,4.58823529411765,17,"['Sleepy 100', 'Euphoric 100', 'Relaxed 63.3333333333333', 'Uplifted 50', 'Talkative 46.6666666666667', 'Stress 100', 'Fatigue 57.1428571428571', 'Eye Pressure 53.5714285714286', 'Headaches 53.5714285714286', 'Insomnia 53.5714285714286', 'Dry Mouth 100', 'Dry Eyes 94.1176470588235']","Afghan Sour Kush by MTG Seeds is an indica-dominant cross between Afghani and Sour Kush. Its heavy, relaxing effects are ushered in by a sweet berry aroma and a sharp spicy flavor typical of Kush varieties. Stout and sturdy, Afghan Sour Kush plants have tight internodal spacing and finish flowering in about 60 days.","['Sweet', 'Sage', 'Earthy']","[100.0, 44.916820702403, 34.9353049907579, 4.99075785582255, 0.0, 0.0]",,0.75
Afghan Widow,4.66666666666667,9,"['Euphoric 100', 'Energetic 55.1724137931034', 'Focused 55.1724137931034', 'Uplifted 51.7241379310345', 'Sleepy 48.2758620689655', 'Depression 100', 'Stress 100', 'Eye Pressure 7.69230769230769', 'Fatigue 7.69230769230769', 'Insomnia 7.69230769230769', 'Dry Mouth 100', 'Dry Eyes 66.6666666666667']","Afghan Widow is a strain with deep relaxing qualities that immediately envelop the body in a calming aura. This mid-level sedation is pleasant but not debilitating. However, with continued consumption, this strain may yield benefits for patients treating insomnia, nausea, physical discomfort, and some cancer treatment side effects. Afghan Widows lineage is a common sense cross of Afghan Kush and White Widow.","['Diesel', 'Pungent', 'Skunk']","[100.0, 17.5913396481732, 11.7726657645467, 0.0, 5.81867388362652, 0.0]",,0.55
Afghani,4.32291666666667,491,"['Relaxed 100', 'Sleepy 68.4243571577738', 'Euphoric 61.8042777467514', 'Happy 45.103678524808', 'Tingly 41.0295271051166', 'Stress 100', 'Pain 88.5566888512582', 'Insomnia 75.3261134958453', 'Depression 56.4421691017209', 'Muscle Spasms 51.4474067656441', 'Dry Mouth 100', 'Dry Eyes 62.0824899625046', 'Dizzy 30.4836247801706', 'Paranoid 18.0774463284335', 'Headache 15.5070179513555']","Afghani is a heavy indica strain named after its geographic origin, where the earliest varieties of cannabis are believed to have grown. Breeders worldwide have come to treasure Afghani for its heavy resin production which is passed on genetically. With a sweet, earthy aroma, Afghani delivers a deep, sedating relaxation and euphoria. Patients most commonly turn to this potent indica to treat insomnia, pain, and stress disorders.","['Earthy', 'Pungent', 'Pine']","[100.0, 74.3478260869565, 24.7826086956522, 6.08695652173913, 3.26086956521739, 8.91304347826087]",16.0,1.0
Afghani Bullrider,4.392523364485981,108,"['Relaxed 100', 'Happy 91.4922048997773', 'Uplifted 54.2093541202673', 'Sleepy 50.6013363028953', 'Euphoric 46.9042316258352', 'Stress 100', 'Pain 52.4341580207502', 'Lack of Appetite 51.8754988028731', 'Cramps 48.2841181165203', 'Spasticity 46.8475658419792', 'Dry Mouth 100', 'Dry Eyes 77.1428571428571', 'Paranoid 74.2857142857143', 'Dizzy 10', 'Headache 5.71428571428571']","This strain has quite a few myths circulating about its original appearance. It blew up in San Diego before spreading to the rest of the West Coast. Afghani Bullrider is pretty to look at, with light green buds covered in orange hairs, and has a strong sweet and sour smell with some piney freshness. This strain is a heavy hitter that delivers strong couchlock effects, but won't leave you feeling sleepy. It heads straight to the brain and may boost creative thoughts while providing physical relaxation.","['Pine', 'Spicy/Herbal', 'Lemon']","[100.0, 48.210922787194, 21.0922787193974, 3.57815442561205, 3.57815442561205, 11.6760828625235]",,0.96
